Order Date,Sales
2021-01-31,14236.895
2021-02-28,4519.892
2021-03-31,55691.009
2021-04-30,28295.345
2021-05-31,23648.287
2021-06-30,34669.4796
2021-07-31,33946.393
2021-08-31,27909.4685
2021-09-30,81777.3508
2021-10-31,31453.393
2021-11-30,78628.7167
2021-12-31,69663.4285
2022-01-31,18174.0756
2022-02-28,11951.411
2022-03-31,38726.252
2022-04-30,34195.2085
2022-05-31,30131.6865
2022-06-30,24797.292
2022-07-31,28765.325
2022-08-31,36898.3322
2022-09-30,64595.918000000005
2022-10-31,31404.9235
2022-11-30,75972.5635
2022-12-31,75034.3052
2023-01-31,18542.491
2023-02-28,22978.815000000002
2023-03-31,51715.875
2023-04-30,38750.039000000004
2023-05-31,56987.728
2023-06-30,40885.468
2023-07-31,39261.963
2023-08-31,31115.3743
2023-09-30,73410.0249
2023-10-31,59687.745
2023-11-30,79411.9658
2023-12-31,97113.827
2024-01-31,43971.373999999996
2024-02-29,20301.1334
2024-03-31,59413.2868
2024-04-30,36521.5361
2024-05-31,44261.1102
2024-06-30,53056.0777
2024-07-31,45264.416000000005
2024-08-31,63120.888000000006
2024-09-30,87866.652
2024-10-31,77776.9232
2024-11-30,118447.825
2024-12-31,83947.1268
